code,name,category,properties,day_price
LILE0283,"CLF - Ares LED-wash 43°, IP65 LED, RGBW 2-4",LIGHT,,40.00
LILE0882,"CLF - Sera Batt LEDwash RGBL 17.5°, IP65 LED, RGBL 2-4",LIGHT,,45.00
LILE0883,"CLF - Sera XS LEDwash RGBL 17.5°, IP65 LED, RGBL 2-4",LIGHT,,35.00
LILE0888,"CLF - Sera LEDwash RGBL 15.5°, IP65 LED, RGBL 2-4",LIGHT,,45.00
LILE0889,"CLF - Sera LEDwash RGBL 15.5°, IP65 (Black) LED, RGBL 2-4",LIGHT,,45.00
LILE0892,"CLF - Sera SMD RGBL 102°, IP65 LED, RGBL 2-4",LIGHT,,50.00
LILE0240,"CLF - LEDwash Wallwasher LED, RGBW 4-8",LIGHT,,10.00
LILE0245,"CLF - LEDwash XL Wallwasher LED, RGBW 1-4-8",LIGHT,,17.50
LILE0297,"CLF - LEDBAR (XLR3) LED, RGBW 4-12",LIGHT,,10.00
LILE0320,"CLF - LEDBAR Pro, IP65 LED, RGBW 2-4",LIGHT,,27.50
LILE0250,"CLF - Tricolor Mini LED-Par (XLR3) LED, RGB 6-12-24",LIGHT,,5.00
LILE0252,"CLF - Quadcolor Mini LED-Par, IP65 (XLR3) LED, RGBW 4-8",LIGHT,,8.00
LILE0255,"CLF - Colorpar-12 LED-Par (XLR3) LED, RGB 4-8",LIGHT,,10.00
LILE0260,"CLF - Conan Zoom LED-Par LED, RGBW 4-8",LIGHT,,17.50
LILE0262,"CLF - Odin Zoom LED-Par, IP65 LED, RGB+Lime 4-8",LIGHT,,30.00
LILE0272,"CLF - Yara LED-Par, IP65 LED, RGBW 4-8",LIGHT,,12.50
LILE0315,"CLF - Hera LED-Par, IP65 LED, RGBWAUV 4-8",LIGHT,,15.00
LILE0270,"CLF - Hercules LED-Par LED, RGBWAUV 4-8",LIGHT,,15.00
LILE0258,"CLF - Dynamic White LED-Par (XLR3) LED, CW-WW 4-8",LIGHT,,7.50
LILE0304,"CLF - Spectrum P2 VW, IP65 LED, CW-WW 4-8",LIGHT,,12.50
LILE0298,"CLF - Spectrum P1 CW LED, CW 4-8",LIGHT,,17.50
LIEF0334,CLF - Apollo XS retro LED light (XLR5) 4-Unit KIT LED 2,LIGHT,,150.00
LIEF0336,CLF - Apollo XS retro LED light (XLR5) 7-Unit KIT LED 2,LIGHT,,250.00
LIEF0343,"CLF - Apollo Retro LED LED, RGB-CW 2-4",LIGHT,,40.00
LIEF0348,"CLF - Apollo XL Retro LED LED, RGB-CW 2",LIGHT,,50.00
LIEF0353,"CLF - LEDFAN, 0,70 x 0,70 m LED, RGB 2-4",LIGHT,,25.00
LIEF0358,"CLF - LEDFAN XL, 1,00 x 1,00 m LED, RGB 2",LIGHT,,40.00
INCF0780,"CLF - Nero, Tiltable LED Strobe/Wash 110°, IP65 LED, RGB-CW 2-4",LIGHT,,60.00
LECL0322,"CLF - LEDBAR Strobe, IP65 LED, CW 2-4",LIGHT,,35.00
INCF0799,CLF - Poseidon Mirror Movinghead IP65 1-3,LIGHT,,50.00
INGL0204,"GLP - Impression X4 Atom IP65 (XLR4) LED, RGBW, 20W 12",LIGHT,,17.50
INGL0284,"GLP - Impression FR 1 LED, RGBW, 60W 4-8",LIGHT,,25.00
INGL0324,"GLP - Impression S350 Spot LED, WLE, 350W 2",LIGHT,,125.00
INGL0345,"GLP - Impression X4 Wash LED, RGBW, 19 x 15W 2-4",LIGHT,,60.00
INGL0350,"GLP - Impression X4 L Wash LED, RGBW, 37 x 15W 1-4",LIGHT,,100.00
INGL0432,"GLP - Impression X5 Wash LED, RGBL, 19 x 40W 2-4",LIGHT,,90.00
INGL0435,"GLP - Impression X5 IP Maxx LED, RGBL, 37 x 40W 1-3",LIGHT,,150.00
INGL0401,"GLP - Impression X4 Bar 10 LED, RGBW, 10 x 15W 2-4",LIGHT,,35.00
INGL0409,"GLP - Impression X4 Bar 20 LED, RGBW, 20 x 15W 2-4",LIGHT,,50.00
INGL0419,"GLP - Impression FR 10 Moving LED Bar LED, RGBW, 10 x 60W 2",LIGHT,,100.00
INGL0412,"GLP - Impression X5 IP Bar LED, RGBL, 18 x 40W 2",LIGHT,,110.00
INAY0118,"Ayrton - Rivale Profile, IP65 LED, WLE, 430W 1-2",LIGHT,,175.00
INAY0116,"Ayrton - Eurus Profile TC LED, WLE, 650W 1-2",LIGHT,,185.00
INAY0130,"Ayrton - Cobra², IP65 LED, WLE, 750W 1-2",LIGHT,,185.00
INAY0112,"Ayrton - Bora S LED, WLE, 750W 1-2",LIGHT,,195.00
INAY0122,"Ayrton - Veloce Profile, IP65 LED, WLE, 850W 1-2",LIGHT,,200.00
INAY0102,"Ayrton - Huracán Profile S LED, WLE, 1000W",LIGHT,,225.00
LIUR0212,"URC - LED Zoom 210 Moving Washlight LED, RGBW, 7 x 30W 1-4-24",LIGHT,,35.00
LIUR0153,"URC - Goldstrip LED, CREE 24",LIGHT,,12.50
LIUR0172,"URC - Cupix 44 LED, RGB 4",LIGHT,,35.00
LIUR0162,"URC - Goldpix 77 LED, CREE 6",LIGHT,,50.00
LIUR0020,"URC - LED-Par Zoom IP65 LED, RGBW 4-8",LIGHT,,25.00
LIUR0142,"URC - Power LED Strip IP65 (XLR5) LED, RGBW 12",LIGHT,,22.50
LIUR0147,URC - Artnet controller for LED Strip RGBW,LIGHT,,10.00
LIUR0051,"URC - Light up Wireless Akku uplighter LED, RGBA 6",LIGHT,,15.00
LIUR0113,"URC - Citywash 300 LED Wash 45° IP67 (XLR3) LED, RGBW 4",LIGHT,,35.00
LILE0160,"SGM - P-2 RGBW LEDwash light WFL 43°, IP65 LED 2-6",LIGHT,,40.00
LILE0162,"SGM - P-5 RGBW LEDwash light WFL 43°, G-3 LED 2-6",LIGHT,,50.00
LILE0168,SGM - P-5 TW LEDwash light WFL 43° LED 2-6,LIGHT,,50.00
LILE0166,"SGM - P-6 RGBW LEDwash light NSP 10°, IP66 LED 2-4",LIGHT,,75.00
LILE0165,"SGM - P-10 RGBW LEDwash light NSP 10°, IP65 LED 2-4",LIGHT,,125.00
LILE0171,SGM - Q-7 White LEDwash light WFL 110° LED 2-6,LIGHT,,50.00
LILE0173,SGM - Q-7 RGBW LEDwash light WFL 110° LED 2-6,LIGHT,,50.00
LILE0176,SGM - Q-8 RGBW + White LEDwash light IP66 110° LED 2-4,LIGHT,,75.00
LILE0167,SGM - Q-10 RGBW LEDWash 110° IP65 LED 2-4,LIGHT,,100.00
LILE0901,"SGM - LB-100 LEDBalls string 0,85m / 7 led balls LED 50",LIGHT,,2.50
LILE0920,"SGM - LT-100 LEDTube 1,00m Pixel pitch 35mm, IP20 LED 60",LIGHT,,5.00
LILE0924,"SGM - LT-200 LEDTube 2,00m Pixel pitch 35mm, IP20 LED 60",LIGHT,,9.00
LILE0906,"SGM - TLD 612A PSU beam 0,71m. 6 ch. output, incl Artnet 5",LIGHT,,17.50
LIEF0050,"Acme - PIXEL LINE IP, IP65 RGB Ledbar/CW Strobe LED, RGBW 2-4-8",LIGHT,,30.00
LIEF0039,"Acme - Tornado, IP66 RGBL Moving Pan/Tilt Bar LED, RGBL, 5 x 120W + 120x 0.5W 2",LIGHT,,125.00
LILE0116,"Expolite - Tourled 42 CM/WP IP65 (XLR3) LED, RGB 4-8-36",LIGHT,,12.50
INAC0172,Drop arm 20 cm,LIGHT,,4.50
INAC0173,Drop arm 30 cm,LIGHT,,4.50
INAC0174,Drop arm 40 cm,LIGHT,,4.50
INAC0175,Drop arm 50 cm,LIGHT,,4.50
INAC0178,Drop arm 50/100 cm adjustable,LIGHT,,6.50
INAC0185,Drop arm 100/125/150/170 cm,LIGHT,,7.50
INAC0200,Drop arm 200/360 cm adjustable per 20 cm,LIGHT,,7.50
LIEF0090,Martin - Atomic 3000 strobe Xenon Max-15 2-5,LIGHT,,25.00
LIEF0094,Martin - Atomic 3000 strobe unit scroller Xenon Max-15 2-4,LIGHT,,45.00
LIEF0080,"Martin - Atomic 3000 LED strobe LED, CREE XP-L 2-4",LIGHT,,50.00
